,index,Room_T,RH,Teff,actual,predicted
700,1290,33,60,32.9,0.3,0.13
701,1526,31,65,32.9,0.0,0.1
702,1698,34,70,33.0,0.7,0.66
703,868,33,50,33.0,0.0,0.1
704,1737,31,70,33.1,0.1,0.1
705,422,35,40,33.1,0.3,0.1
706,2172,30,80,33.1,0.3,0.34
707,2317,35,85,33.2,1.3,1.53
708,2946,30,100,33.2,1.1,1.05
709,1079,33,55,33.2,0.1,0.1
710,1948,31,75,33.3,0.3,0.27
711,15,34,30,33.3,0.1,0.06
712,2329,32,85,33.3,0.9,0.79
713,1302,32,60,33.4,0.0,0.1
714,2969,28,100,33.4,0.1,0.64
715,2959,29,100,33.5,0.9,0.77
716,1935,32,75,33.6,0.5,0.47
717,1513,32,65,33.6,0.1,0.1
718,2919,32,100,33.7,1.3,1.24
719,1078,33,55,33.7,0.0,0.1
720,1487,34,65,33.7,0.5,0.42
721,2932,31,100,33.7,1.1,1.11
722,2968,28,100,33.8,0.0,0.58
723,2513,35,90,34.0,1.3,1.42
724,14,34,30,34.0,0.0,0.03
725,2722,32,95,34.0,1.1,1.08
726,224,34,35,34.0,0.0,0.08
727,1512,32,65,34.1,0.0,0.07
728,2551,30,90,34.1,0.5,0.54
729,1052,35,55,34.1,0.3,0.1
730,2748,30,95,34.1,0.7,0.68
731,1,35,30,34.3,0.1,0.06
732,2761,29,95,34.3,0.5,0.49
733,2158,31,80,34.3,0.3,0.27
734,1288,33,60,34.5,0.0,0.06
735,1934,32,75,34.5,0.3,0.22
736,1499,33,65,34.7,0.1,0.06
737,1473,35,65,34.7,0.5,0.41
738,1486,34,65,34.7,0.3,0.16
739,2340,31,85,34.8,0.3,0.38
740,2747,30,95,34.9,0.5,0.54
741,1262,35,60,35.0,0.3,0.11
742,840,35,50,35.0,0.0,0.08
743,1709,33,70,35.5,0.1,0.07
744,2156,31,80,35.5,0.0,0.08
745,2733,31,95,35.5,0.5,0.59
746,2315,35,85,35.6,0.9,0.89
747,2144,32,80,35.6,0.3,0.17
748,2708,35,95,36.0,1.1,1.15
749,2548,30,90,36.1,0.0,0.11
750,2535,31,90,36.5,0.1,0.17
751,2942,30,100,36.5,0.3,0.4
752,2143,32,80,36.5,0.1,0.08
753,1682,35,70,36.6,0.3,0.15
754,1260,35,60,36.7,0.0,0.01
755,2954,29,100,36.9,0.0,0.13
756,2142,32,80,36.9,0.0,0.05
757,2314,35,85,36.9,0.7,0.66
758,1471,35,65,36.9,0.1,0.04
759,1918,33,75,37.0,0.0,0.04
760,2522,32,90,37.0,0.3,0.28
761,2325,32,85,37.2,0.1,0.1
762,2116,34,80,37.4,0.3,0.18
763,2324,32,85,37.6,0.0,0.07
764,2730,31,95,37.7,0.0,0.14
765,2510,35,90,37.7,0.7,0.66
766,2940,30,100,37.7,0.0,0.14
767,2717,32,95,38.8,0.1,0.13
768,2312,35,85,39.3,0.3,0.17
769,2913,32,100,39.7,0.1,0.14
770,2705,35,95,39.7,0.5,0.45
771,2507,35,90,41.3,0.1,0.1
772,2506,35,90,41.9,0.0,0.07
773,2702,35,95,42.7,0.0,0.09
