Room_T,RH,Teff,Wind_Speed
27,40,21.6,1.3
27,40,21.0,1.5
27,40,20.1,1.7
27,40,19.1,1.9
27,40,18.6,2.1
27,40,18.4,2.3
27,40,18.2,2.5
26,40,26.0,0.0
26,40,25.6,0.1
26,40,24.7,0.3
26,40,23.8,0.5
26,40,23.1,0.7
26,40,22.4,0.9
26,40,21.7,1.1
26,40,21.1,1.3
26,40,20.6,1.5
26,40,19.6,1.7
26,40,18.6,1.9
26,40,18.0,2.1
26,40,17.8,2.3
26,40,17.7,2.5
25,40,25.0,0.0
25,40,24.7,0.1
25,40,23.9,0.3
25,40,23.2,0.5
25,40,22.5,0.7
25,40,21.9,0.9
25,40,21.3,1.1
25,40,20.7,1.3
25,40,20.2,1.5
25,40,19.2,1.7
25,40,18.1,1.9
25,40,17.6,2.1
25,40,17.4,2.3
25,40,17.2,2.5
24,40,24.0,0.0
24,40,23.8,0.1
24,40,23.2,0.3
24,40,22.6,0.5
24,40,22.0,0.7
24,40,21.5,0.9
24,40,20.9,1.1
24,40,20.3,1.3
24,40,19.8,1.5
24,40,18.8,1.7
24,40,17.7,1.9
24,40,17.1,2.1
24,40,16.9,2.3
24,40,16.7,2.5
23,40,23.5,0.0
23,40,23.1,0.1
23,40,22.4,0.3
23,40,21.8,0.5
23,40,21.3,0.7
23,40,20.8,0.9
23,40,20.3,1.1
23,40,19.7,1.3
23,40,19.2,1.5
23,40,18.5,1.7
23,40,17.7,1.9
23,40,17.2,2.1
23,40,17.0,2.3
23,40,16.8,2.5
22,40,23.1,0.0
22,40,22.6,0.1
22,40,21.8,0.3
22,40,20.9,0.5
22,40,20.5,0.7
22,40,20.1,0.9
22,40,19.6,1.1
22,40,19.2,1.3
22,40,18.7,1.5
22,40,18.2,1.7
22,40,17.7,1.9
22,40,17.4,2.1
22,40,17.2,2.3
22,40,17.0,2.5
21,40,22.8,0.0
21,40,22.3,0.1
21,40,21.3,0.3
21,40,20.3,0.5
21,40,19.9,0.7
21,40,19.5,0.9
21,40,19.2,1.1
21,40,18.7,1.3
21,40,18.3,1.5
21,40,18.0,1.7
21,40,17.7,1.9
21,40,17.5,2.1
21,40,17.4,2.3
21,40,17.2,2.5
35,45,35.0,0.00
35,45,34.4,0.1
35,45,33.2,0.3
35,45,32.1,0.5
35,45,30.2,0.7
35,45,28.3,0.9
35,45,26.5,1.1
35,45,25.4,1.3
35,45,24.3,1.5
35,45,23.8,1.7
35,45,23.4,1.9
35,45,23.0,2.1
35,45,22.6,2.3
35,45,22.2,2.5
34,45,34.0,0.00
34,45,33.4,0.1
34,45,32.2,0.3
34,45,31.1,0.5
34,45,29.4,0.7
34,45,27.7,0.9
34,45,26.1,1.1
34,45,25.0,1.3
34,45,24.0,1.5
34,45,23.6,1.7
34,45,23.1,1.9
34,45,22.7,2.1
34,45,22.2,2.3
34,45,21.7,2.5
33,45,33.0,0.00
33,45,32.4,0.1
33,45,31.2,0.3
33,45,30.1,0.5
33,45,28.6,0.7
33,45,27.1,0.9
33,45,25.7,1.1
33,45,24.7,1.3
33,45,23.7,1.5
33,45,23.3,1.7
33,45,22.9,1.9
33,45,22.3,2.1
33,45,21.8,2.3
33,45,21.2,2.5
32,45,32.0,0.00
32,45,31.4,0.1
32,45,30.2,0.3
32,45,29.1,0.5
32,45,27.8,0.7
32,45,26.5,0.9
32,45,25.3,1.1
32,45,24.4,1.3
32,45,23.5,1.5
32,45,23.0,1.7
32,45,22.5,1.9
32,45,22.0,2.1
32,45,21.4,2.3
32,45,20.8,2.5
31,45,31.0,0.00
31,45,30.4,0.1
31,45,29.2,0.3
31,45,28.1,0.5
31,45,27.0,0.7
31,45,25.9,0.9
31,45,24.9,1.1
31,45,24.0,1.3
31,45,23.2,1.5
31,45,22.6,1.7
31,45,22.1,1.9
31,45,21.5,2.1
31,45,21.0,2.3
31,45,20.4,2.5
30,45,30.0,0.0
30,45,29.4,0.1
30,45,28.2,0.3
30,45,27.1,0.5
30,45,26.2,0.7
30,45,25.4,0.9
30,45,24.5,1.1
30,45,23.7,1.3
30,45,22.8,1.5
30,45,22.2,1.7
30,45,21.6,1.9
30,45,21.0,2.1
30,45,20.5,2.3
30,45,20.1,2.5
29,45,29.0,0.0
29,45,28.4,0.1
29,45,27.3,0.3
29,45,26.2,0.5
29,45,25.4,0.7
29,45,24.7,0.9
29,45,23.9,1.1
29,45,23.2,1.3
29,45,22.4,1.5
29,45,21.7,1.7
29,45,21.0,1.9
29,45,20.4,2.1
29,45,20.0,2.3
29,45,19.6,2.5
28,45,28.0,0.0
28,45,27.5,0.1
28,45,26.4,0.3
28,45,25.4,0.5
28,45,24.6,0.7
28,45,23.9,0.9
28,45,23.2,1.1
28,45,22.5,1.3
28,45,21.8,1.5
28,45,21.0,1.7
28,45,20.2,1.9
28,45,19.6,2.1
28,45,19.3,2.3
28,45,19.0,2.5
27,45,27.0,0.0
27,45,26.5,0.1
27,45,25.5,0.3
27,45,24.6,0.5
27,45,23.8,0.7
27,45,23.1,0.9
27,45,22.4,1.1
27,45,21.8,1.3
27,45,21.2,1.5
27,45,20.3,1.7
27,45,19.4,1.9
27,45,18.8,2.1
27,45,18.6,2.3
27,45,18.4,2.5
26,45,26.0,0.0
